Row Labels;Sum of total_vaccinations
05/12/2023;1 033 707 105
06/12/2023;1 033 721 748
07/12/2023;1 035 377 564
08/12/2023;1 035 382 841
09/12/2023;1 054 625 867
10/12/2023;1 013 033 969
11/12/2023;973 493 352
12/12/2023;992 769 145
13/12/2023;973 522 206
14/12/2023;973 519 839
15/12/2023;994 432 976
16/12/2023;992 790 973
17/12/2023;951 188 752
18/12/2023;994 454 935
19/12/2023;994 453 237
20/12/2023;971 918 506
21/12/2023;992 838 414
22/12/2023;971 927 743
23/12/2023;39 378 916
24/12/2023;18 462 341
25/12/2023;18 462 351
26/12/2023;971 918 975
27/12/2023;992 840 796
28/12/2023;992 857 076
29/12/2023;971 926 372
30/12/2023;60 093 410
31/12/2023;971 926 601
01/01/2024;951 227 854
02/01/2024;994 510 321
03/01/2024;973 587 629
04/01/2024;971 948 750
05/01/2024;971 954 105
06/01/2024;971 943 157
07/01/2024;971 943 209
08/01/2024;993 312 870
09/01/2024;992 906 935
10/01/2024;971 976 529
11/01/2024;971 989 691
12/01/2024;972 004 912
13/01/2024;992 943 657
14/01/2024;971 994 869
15/01/2024;992 973 858
16/01/2024;972 037 606
17/01/2024;993 013 966
18/01/2024;994 682 331
19/01/2024;993 067 439
20/01/2024;60 274 585
21/01/2024;972 096 975
22/01/2024;973 778 385
23/01/2024;972 164 839
24/01/2024;993 148 139
25/01/2024;993 173 899
26/01/2024;993 199 514
27/01/2024;993 189 767
29/01/2024;953 773 648
30/01/2024;953 774 994
31/01/2024;953 776 916
01/02/2024;953 778 474
02/02/2024;953 779 765
03/02/2024;953 768 356
04/02/2024;918 352 336
05/02/2024;932 805 829
06/02/2024;953 781 612
07/02/2024;932 806 563
08/02/2024;953 771 729
09/02/2024;932 807 147
12/02/2024;932 795 588
13/02/2024;932 807 499
14/02/2024;932 807 847
15/02/2024;932 808 085
16/02/2024;932 796 585
18/02/2024;932 796 587
19/02/2024;953 774 290
20/02/2024;932 808 543
21/02/2024;953 775 711
22/02/2024;955 431 565
23/02/2024;953 788 557
24/02/2024;932 797 259
26/02/2024;953 777 516
27/02/2024;932 797 521
28/02/2024;932 809 426
29/02/2024;953 790 790
01/03/2024;932 809 684
04/03/2024;953 780 345
05/03/2024;932 809 834
06/03/2024;953 794 036
07/03/2024;953 794 684
08/03/2024;953 784 060
11/03/2024;932 798 432
12/03/2024;932 810 216
13/03/2024;932 798 559
14/03/2024;953 787 740
15/03/2024;932 798 687
16/03/2024;20 990 321
18/03/2024;932 798 723
19/03/2024;932 798 759
20/03/2024;932 798 843
21/03/2024;932 810 636
22/03/2024;953 793 502
25/03/2024;932 799 026
26/03/2024;932 810 822
27/03/2024;932 810 872
28/03/2024;932 799 174
02/04/2024;932 799 180
03/04/2024;932 810 936
04/04/2024;932 799 223
05/04/2024;953 797 859
08/04/2024;953 798 557
09/04/2024;953 798 846
10/04/2024;932 811 050
11/04/2024;953 799 484
12/04/2024;953 799 851
15/04/2024;932 799 386
16/04/2024;932 799 408
17/04/2024;953 800 873
18/04/2024;932 799 462
19/04/2024;932 799 486
22/04/2024;953 801 742
23/04/2024;932 799 518
24/04/2024;932 799 534
25/04/2024;932 799 556
26/04/2024;932 811 314
29/04/2024;932 799 622
30/04/2024;932 811 382
02/05/2024;932 799 653
03/05/2024;932 799 755
06/05/2024;932 799 765
07/05/2024;932 811 506
09/05/2024;932 799 782
10/05/2024;953 804 426
13/05/2024;932 799 794
14/05/2024;932 799 814
15/05/2024;932 811 584
16/05/2024;932 799 855
17/05/2024;932 799 865
20/05/2024;932 799 873
21/05/2024;932 799 881
22/05/2024;932 799 897
23/05/2024;932 799 905
24/05/2024;932 799 913
27/05/2024;932 799 925
28/05/2024;932 811 668
29/05/2024;932 811 694
30/05/2024;932 799 969
31/05/2024;932 799 973
03/06/2024;934 443 579
04/06/2024;932 811 735
05/06/2024;932 811 751
06/06/2024;932 800 014
07/06/2024;932 800 022
11/06/2024;932 800 040
12/06/2024;932 800 066
13/06/2024;932 800 070
14/06/2024;932 800 080
17/06/2024;932 800 088
18/06/2024;932 800 114
19/06/2024;932 811 879
20/06/2024;932 800 149
21/06/2024;953 809 525
24/06/2024;932 800 167
25/06/2024;932 800 171
26/06/2024;932 811 929
27/06/2024;932 800 194
28/06/2024;932 800 200
01/07/2024;932 800 210
02/07/2024;932 800 214
03/07/2024;932 800 232
04/07/2024;932 800 246
08/07/2024;932 800 250
09/07/2024;932 800 258
10/07/2024;953 812 529
11/07/2024;932 800 268
12/07/2024;932 800 274
15/07/2024;953 813 217
16/07/2024;932 800 294
17/07/2024;932 800 302
18/07/2024;953 813 815
19/07/2024;932 800 330
22/07/2024;932 800 334
23/07/2024;932 800 342
24/07/2024;932 800 376
25/07/2024;932 812 133
26/07/2024;932 812 137
27/07/2024;21 015 282
29/07/2024;932 800 416
30/07/2024;932 800 424
31/07/2024;932 800 432
07/08/2024;21 017 437
10/08/2024;21 018 288
Grand Total;1 900 438 499 230
